time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-03-31T10:33:54.868Z,66.4019,-154.4181,0,4,ml,,,,0.6,ak,ak023450iraw,2023-03-31T10:41:57.289Z,"northern Alaska",earthquake,,0.9,,,automatic,ak,ak
2023-03-31T09:32:34.020Z,38.7555008,-122.7294998,1.69,2.59,md,46,44,0.007082,0.09,nc,nc73864805,2023-03-31T09:39:10.805Z,"3km SE of The Geysers, CA",earthquake,0.18,0.29,0.12,52,automatic,nc,nc
2023-03-31T08:28:35.177Z,-9.7454,115.1016,62.136,4.8,mb,44,120,1.576,0.53,us,us6000k12g,2023-03-31T10:20:28.471Z,"105 km S of Nusa Dua, Indonesia",earthquake,8.12,3.781,0.105,28,reviewed,us,us
2023-03-31T08:27:30.510Z,-49.1167,124.984,10,4.8,mb,17,168,17.18,0.56,us,us6000k12h,2023-03-31T08:43:34.040Z,"western Indian-Antarctic Ridge",earthquake,7.98,1.96,0.144,15,reviewed,us,us
2023-03-31T08:17:36.200Z,18.7761666666667,-67.3933333333333,11.45,3.41,md,12,214,0.398,0.3,pr,pr71402138,2023-03-31T09:10:59.500Z,"44 km NW of San Antonio, Puerto Rico",earthquake,1.13,0.93,0.0159824998497116,5,reviewed,pr,pr
2023-03-31T06:46:20.456Z,-30.2304,-176.6751,10,4.5,mb,15,163,1.451,0.49,us,us6000k125,2023-03-31T07:40:18.040Z,"Kermadec Islands region",earthquake,11.34,1.963,0.172,10,reviewed,us,us
2023-03-31T06:32:38.710Z,19.1268,-63.9228,28,3.58,md,9,334,1.2915,0.22,pr,pr2023090000,2023-03-31T07:22:53.663Z,"Leeward Islands",earthquake,2.77,18.8,0.04,5,reviewed,pr,pr
2023-03-31T05:52:20.183Z,27.0725,141.4644,73.692,5.4,mww,92,115,6.19,0.91,us,us6000k11q,2023-03-31T07:57:58.301Z,"Bonin Islands, Japan region",earthquake,11.14,6.811,0.066,22,reviewed,us,us
2023-03-31T05:32:15.337Z,62.0938,-149.4217,7.5,2.6,ml,,,,0.85,ak,ak02344xjahx,2023-03-31T05:33:56.786Z,"23 km ESE of Susitna North, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-03-31T05:15:38.050Z,19.4088325500488,-155.286666870117,5.76000022888184,2.6099999,md,23,69,,0.180000007,hv,hv73353217,2023-03-31T05:18:44.100Z,"6 km SW of Volcano, Hawaii",earthquake,0.39,0.49000001,1.74000001,12,automatic,hv,hv
2023-03-31T04:12:39.700Z,17.6543,-94.402,160.729,4.6,mb,50,109,2.562,0.88,us,us6000k114,2023-03-31T04:56:38.013Z,"26 km NNE of Niños Héroes, Mexico",earthquake,3.7,8.491,0.037,224,reviewed,us,us
2023-03-31T03:34:49.359Z,41.9977,-124.5195,20.145,2.5,ml,25,217,0.508,0.69,us,us6000k110,2023-03-31T10:06:35.373Z,"20 km WSW of Brookings, Oregon",earthquake,2.16,9.412,0.05,52,reviewed,us,us
2023-03-31T00:33:24.650Z,-18.5259,-177.8786,561.507,4.4,mb,38,52,3.577,0.83,us,us6000k10k,2023-03-31T00:49:21.040Z,"Fiji region",earthquake,13.89,9.72,0.064,69,reviewed,us,us
2023-03-31T00:17:41.660Z,40.534832,-124.3201675,16.98,3.28,ml,19,240,0.06066,0.08,nc,nc73864625,2023-03-31T06:59:26.221Z,"7km SW of Ferndale, CA",earthquake,1.12,0.59,0.281,6,automatic,nc,nc
2023-03-31T00:10:13.000Z,44.6222,149.3147,35,4.5,mb,53,137,4.845,0.67,us,us6000k10i,2023-03-31T00:39:48.040Z,"131 km ESE of Kuril’sk, Russia",earthquake,7.76,1.775,0.068,63,reviewed,us,us
2023-03-30T23:33:01.346Z,58.3103,-155.0037,0,2.8,ml,,,,0.61,ak,ak02343kpxla,2023-03-30T23:39:17.040Z,"88 km NNW of Karluk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-03-30T22:03:23.257Z,-35.7033,-73.5399,10,4.5,mwr,40,114,1.08,0.78,us,us6000k0zq,2023-03-30T22:37:28.040Z,"110 km WSW of Constitución, Chile",earthquake,5.07,1.646,0.044,49,reviewed,us,us
2023-03-30T20:55:00.049Z,-17.9506,-178.5694,572.598,4.4,mb,57,57,4.396,1,us,us6000k0z5,2023-03-30T22:23:03.040Z,"224 km E of Levuka, Fiji",earthquake,14.43,9.189,0.055,95,reviewed,us,us
2023-03-30T20:26:14.205Z,47.7295,15.9861,16.384,4,mb,46,40,1.37,0.68,us,us6000k0yt,2023-03-31T08:08:29.440Z,"3 km N of Buchbach, Austria",earthquake,4.92,7.823,0.366,2,reviewed,us,us
2023-03-30T20:15:52.365Z,22.2141,121.5548,10.706,4.5,mb,54,115,0.744,0.61,us,us6000k0yr,2023-03-30T20:43:14.040Z,"86 km ENE of Hengchun, Taiwan",earthquake,5.6,4.741,0.085,40,reviewed,us,us
2023-03-30T19:55:02.931Z,-35.6984,-73.5677,10,4.2,mb,24,213,1.091,0.9,us,us6000k0ye,2023-03-30T20:26:10.040Z,"112 km WSW of Constitución, Chile",earthquake,4.96,1.993,0.374,2,reviewed,us,us
2023-03-30T19:23:00.365Z,34.6472,25.1959,10,4.5,mb,93,94,0.687,0.81,us,us6000k0y7,2023-03-30T20:30:25.421Z,"Crete, Greece",earthquake,5.67,1.842,0.066,68,reviewed,us,us
2023-03-30T19:18:55.359Z,35.5898,70.8344,103.347,4.2,mb,38,119,1.804,1.06,us,us6000k0y6,2023-03-30T20:15:58.040Z,"20 km NNW of P?r?n, Afghanistan",earthquake,7.85,5.579,0.121,19,reviewed,us,us
2023-03-30T18:47:08.840Z,51.9657,176.2433,38.514,4.3,mb,34,165,1.441,0.66,us,us6000k0y3,2023-03-30T21:35:39.141Z,"229 km ESE of Attu Station, Alaska",earthquake,8.49,9.528,0.059,83,reviewed,us,us
2023-03-30T18:26:34.582Z,-35.7925,-73.6952,23.335,4.4,mb,27,186,1.037,1.01,us,us6000k0xp,2023-03-30T20:04:58.040Z,"113 km NW of Tomé, Chile",earthquake,6.82,5.447,0.219,6,reviewed,us,us
2023-03-30T18:11:00.490Z,18.0065,-66.7433333333333,13.84,2.69,md,7,183,0.1331,0.1,pr,pr71402098,2023-03-30T18:30:46.280Z,"2 km ESE of Magas Arriba, Puerto Rico",earthquake,0.83,0.66,0.0817866525755104,4,reviewed,pr,pr
2023-03-30T17:33:06.366Z,-35.6626,-73.5404,11.586,6.3,mww,143,71,1.119,0.5,us,us6000k0xf,2023-03-31T09:30:33.952Z,"",earthquake,5.53,3.203,0.043,51,reviewed,us,us
2023-03-30T17:18:55.798Z,43.269,-110.8975,5,3.3,ml,27,84,0.218,0.64,us,us6000k0x6,2023-03-31T04:23:27.223Z,"9 km W of Hoback, Wyoming",earthquake,1.57,1.633,0.048,56,reviewed,us,us
2023-03-30T15:46:16.321Z,17.0581,-99.8807,23.544,4.6,mb,74,210,1.352,0.38,us,us6000k0wi,2023-03-30T21:25:25.847Z,"2 km N of Ocotillo, Mexico",earthquake,10.04,8.73,0.038,214,reviewed,us,us
2023-03-30T15:36:28.247Z,57.7632,-155.0273,65.7,3.3,ml,,,,0.47,ak,ak02343fz5yg,2023-03-30T17:57:19.040Z,"40 km WNW of Karluk, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-03-30T15:29:21.157Z,33.0242,136.7762,408.496,4.3,mb,29,88,2.023,0.44,us,us6000k0wq,2023-03-30T17:14:16.040Z,"107 km SE of Shing?, Japan",earthquake,8.95,8.439,0.119,20,reviewed,us,us
2023-03-30T13:02:00.252Z,67.3507,-156.3178,0,3,ml,,,,0.93,ak,ak02343ekybp,2023-03-30T14:41:11.040Z,"55 km NNE of Kobuk, Alaska",earthquake,,1.1,,,automatic,ak,ak
2023-03-30T11:23:23.325Z,56.1406,-152.1955,11.6,2.7,ml,,,,0.95,ak,ak02343dimk4,2023-03-30T19:48:07.864Z,"136 km SSE of Old Harbor, Alaska",earthquake,,5.8,,,reviewed,ak,ak
2023-03-30T08:24:53.020Z,7.9238,-74.7507,56.727,4.5,mb,75,64,1.887,0.89,us,us6000k0u3,2023-03-30T16:00:22.950Z,"14 km N of San Carlos, Colombia",earthquake,4.72,7.984,0.043,157,reviewed,us,us
2023-03-30T08:05:42.770Z,37.4321667,-118.5658333,9.99,2.74,md,32,52,0.1845,0.06,nc,nc73864375,2023-03-31T03:55:27.219Z,"3km NE of Round Valley, CA",earthquake,0.26,0.95,0.126,49,reviewed,nc,nc
2023-03-30T08:01:56.670Z,18.986,-65.0245,20.14,3.15,md,7,276,0.6335,0.11,pr,pr71402068,2023-03-30T08:15:23.540Z,"71 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,0.83,12.21,0.128576412937176,5,reviewed,pr,pr
2023-03-30T06:32:45.950Z,38.523,-119.5173333,5.4,2.55,md,17,80,0.03061,0.06,nc,nc73864350,2023-03-30T16:13:43.235Z,"3km WNW of Walker, CA",earthquake,0.26,0.3,0.214,47,reviewed,nc,nc
2023-03-30T05:39:03.036Z,66.3135,-154.2769,10,2.6,ml,,,,0.93,ak,ak02343a1f1g,2023-03-30T06:32:13.040Z,"29 km N of Hughes, Alaska",earthquake,,1.9,,,automatic,ak,ak
2023-03-30T05:27:29.260Z,18.8976666666667,-64.374,16.09,3.27,md,6,317,0.6778,0.39,pr,pr71402063,2023-03-30T05:44:22.050Z,"Virgin Islands",earthquake,12.97,25.5,0.145381284206151,4,reviewed,pr,pr
2023-03-30T03:46:58.908Z,60.7767,-151.7304,70.3,3,ml,,,,0.24,ak,ak023438w68y,2023-03-31T00:06:59.040Z,"25 km WNW of Nikiski, Alaska",earthquake,,1.6,,,automatic,ak,ak
2023-03-30T03:31:38.731Z,38.2349,72.9818,141.682,4.1,mb,24,82,1.547,0.48,us,us6000k0t1,2023-03-31T00:16:54.040Z,"86 km W of Murghob, Tajikistan",earthquake,3.76,13.039,0.301,3,reviewed,us,us
2023-03-29T23:56:28.630Z,19.6418,-64.5938,12,3.65,md,12,306,1.5015,0.41,pr,pr2023088000,2023-03-30T00:35:52.790Z,"146 km N of Cruz Bay, U.S. Virgin Islands",earthquake,11.3,16.329,0.08,8,reviewed,pr,pr
2023-03-29T23:55:15.326Z,31.11809047,-103.6854579,5.617407227000001,2.5,ml,25,49,0.07977280805,0.2,tx,tx2023geue,2023-03-30T19:01:46.957Z,"15 km NNE of Balmorhea, Texas",earthquake,1.028068887,1.303917372,0.2,21,reviewed,tx,tx
2023-03-29T23:04:28.121Z,58.938,-138.1105,0,3.3,ml,,,,0.97,ak,ak02341x0fe2,2023-03-30T06:19:25.867Z,"114 km SE of Yakutat, Alaska",earthquake,,0.6,,,automatic,ak,ak
2023-03-29T22:57:23.817Z,49.8805,89.8172,10,4.4,mb,34,87,5.114,0.56,us,us6000k0rp,2023-03-29T23:30:40.040Z,"19 km SSW of Kyzyl-Khaya, Russia",earthquake,8.79,1.933,0.105,26,reviewed,us,us
2023-03-29T21:44:21.765Z,37.7974,36.5428,5,4.3,mb,52,51,0.268,0.85,us,us6000k0re,2023-03-29T22:21:05.040Z,"25 km S of Göksun, Turkey",earthquake,5.83,1.877,0.1,28,reviewed,us,us
2023-03-29T21:44:11.414Z,28.3251,141.4912,59.487,4.8,mb,74,121,4.988,0.83,us,us6000k0rg,2023-03-29T22:06:31.040Z,"Bonin Islands, Japan region",earthquake,6.11,7.163,0.055,102,reviewed,us,us
2023-03-29T20:54:01.168Z,61.3618,-146.6433,1.1,2.8,ml,,,,0.73,ak,ak02341visb7,2023-03-30T04:17:27.686Z,"Southern Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-03-29T20:10:41.883Z,1.8946,127.1364,115.289,4.8,mb,57,105,1.139,0.98,us,us6000k0qn,2023-03-29T20:44:53.040Z,"Halmahera, Indonesia",earthquake,8.75,7.271,0.067,68,reviewed,us,us
2023-03-29T19:35:25.480Z,19.147,-65.6528333333333,29.93,3.29,md,13,284,0.9058,0.28,pr,pr71402023,2023-03-29T20:02:54.940Z,"82 km NNE of Suárez, Puerto Rico",earthquake,1.75,14.87,0.0232816169151824,4,reviewed,pr,pr
2023-03-29T18:51:04.540Z,19.0403333333333,-65.722,30.18,3.1,md,4,275,0.8396,0.05,pr,pr71402018,2023-03-29T19:27:28.730Z,"68 km NNE of Suárez, Puerto Rico",earthquake,1.67,8.82,0.110253499859833,3,reviewed,pr,pr
2023-03-29T18:41:45.596Z,62.1797,-152.9186,0.1,2.6,ml,,,,1.12,ak,ak02341u987z,2023-03-29T18:44:15.959Z,"82 km WNW of Skwentna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-03-29T18:26:49.386Z,-15.2968,-173.0504,10,5.4,mww,54,43,2.622,0.93,us,us6000k0pe,2023-03-30T18:30:40.369Z,"108 km NE of Hihifo, Tonga",earthquake,7.7,1.866,0.098,10,reviewed,us,us
2023-03-29T18:24:32.810Z,19.1853333333333,-65.65,38.39,3.34,md,9,263,0.9401,0.12,pr,pr71402003,2023-03-29T18:55:03.310Z,"86 km NNE of Suárez, Puerto Rico",earthquake,1.27,6.21,0.0952461107332394,6,reviewed,pr,pr
2023-03-29T18:15:09.160Z,32.00929194,-103.8084888,10.88754883,2.5,ml,28,38,0.07709862783,0.1,tx,tx2023geix,2023-03-30T18:30:37.673Z,"34 km SE of Malaga, New Mexico",earthquake,1.152666157,1.694327544,0.1,30,reviewed,tx,tx
2023-03-29T18:10:19.540Z,-8.2471,116.7308,12.409,4.9,mb,75,41,1.184,0.63,us,us6000k0p7,2023-03-30T08:56:29.469Z,"Lombok region, Indonesia",earthquake,5.23,3.876,0.074,63,reviewed,us,us
2023-03-29T16:47:02.861Z,37.9135,36.2474,10,4.6,mb,64,87,0.342,0.9,us,us6000k0ne,2023-03-29T17:17:38.040Z,"15 km ESE of Saimbeyli, Turkey",earthquake,3.55,1.84,0.069,63,reviewed,us,us
2023-03-29T14:24:39.360Z,44.5253333,-110.3611667,3.67,3.72,ml,24,61,0.04525,0.17,uu,uu60535541,2023-03-30T14:29:45.392Z,"56 km SSE of Mammoth, Wyoming",earthquake,0.28,0.61,0.252,14,reviewed,uu,uu
2023-03-29T14:22:35.460Z,44.5128333,-110.3416667,4.9,2.52,ml,25,67,0.06383,0.15,uu,uu60535536,2023-03-29T14:54:14.670Z,"58 km SSE of Mammoth, Wyoming",earthquake,0.28,0.8,0.22,6,reviewed,uu,uu
2023-03-29T14:02:03.150Z,44.5153333,-110.3596667,6.96,2.67,ml,23,61,0.05392,0.19,uu,uu60535511,2023-03-29T15:37:25.120Z,"57 km SSE of Mammoth, Wyoming",earthquake,0.3,0.73,0.379,6,reviewed,uu,uu
2023-03-29T13:45:26.910Z,44.519,-110.3538333,3.6,2.68,ml,24,63,0.05347,0.15,uu,uu60535486,2023-03-29T14:01:45.800Z,"57 km SSE of Mammoth, Wyoming",earthquake,0.24,0.59,0.309,6,reviewed,uu,uu
2023-03-29T13:43:41.250Z,44.5178333,-110.3538333,2.64,2.81,md,12,70,0.05437,0.19,uu,uu60032994,2023-03-29T15:53:19.200Z,"",earthquake,0.37,1.51,0.245,7,reviewed,uu,uu
2023-03-29T13:42:25.360Z,44.5215,-110.373,1.54,2.71,ml,10,109,0.04373,0.14,uu,uu60535481,2023-03-29T15:49:31.750Z,"56 km SSE of Mammoth, Wyoming",earthquake,0.48,0.19,0.375,7,reviewed,uu,uu
2023-03-29T13:11:58.560Z,44.5195,-110.3715,1.44,2.61,ml,9,110,0.046,0.16,uu,uu60032954,2023-03-29T13:44:40.920Z,"Wyoming",earthquake,0.6,0.27,0.235,2,reviewed,uu,uu
